Team,Gm#,Date,,Tm, ,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
LAD,1,"Wednesday, Mar 20",boxscore,LAD,@,SDP,W,5,2,,1-0,1,up 0.5,Hudson,Brito,Phillips,3:05,N,"15,952",1.00,+,
LAD,2,"Thursday, Mar 21",boxscore,LAD,,SDP,L,11,15,,1-1,1,Tied,King,Yamamoto,Suarez,3:42,N,"15,928",1.06,-,
LAD,3,"Thursday, Mar 28",boxscore,LAD,,STL,W,7,1,,2-1,1,Tied,Glasnow,Mikolas,Yarbrough,2:23,D,"52,667",.95,+,
LAD,4,"Friday, Mar 29",boxscore,LAD,,STL,W,6,3,,3-1,1,Tied,Miller,Thompson,Phillips,2:23,N,"47,524",1.00,++,
LAD,5,"Saturday, Mar 30",boxscore,LAD,,STL,L,5,6,10,3-2,1,Tied,Helsley,Hurt,Gallegos,3:17,N,"45,019",1.01,-,
LAD,6,"Sunday, Mar 31",boxscore,LAD,,STL,W,5,4,,4-2,1,Tied,Crismatt,King,Hudson,2:41,D,"41,014",.98,+,
LAD,Gm#,April,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
LAD,7,"Monday, Apr 1",boxscore,LAD,,SFG,W,8,3,,5-2,1,up 1.0,Paxton,Winn,,2:38,N,"49,044",1.08,++,
LAD,8,"Tuesday, Apr 2",boxscore,LAD,,SFG,W,5,4,,6-2,1,up 1.0,Yarbrough,Webb,Phillips,2:57,N,"49,365",1.18,+++,
LAD,9,"Wednesday, Apr 3",boxscore,LAD,,SFG,W,5,4,,7-2,1,up 2.0,Glasnow,Harrison,Lamet,2:25,N,"52,746",1.16,++++,
LAD,10,"Friday, Apr 5",boxscore,LAD,@,CHC,L,7,9,,7-3,1,up 2.0,Smyly,Miller,Alzolay,2:57,D,"34,981",1.14,-,
LAD,11,"Saturday, Apr 6",boxscore,LAD,@,CHC,W,4,1,,8-3,1,up 3.0,Yamamoto,Wicks,,2:45,D,"41,040",1.13,+,
LAD,12,"Sunday, Apr 7",boxscore,LAD,@,CHC,L,1,8,,8-4,1,up 3.0,Almonte,Stone,Palencia,2:32,D,"38,322",1.16,-,
LAD,13,"Monday, Apr 8",boxscore,LAD,@,MIN,W,4,2,,9-4,1,up 3.0,Paxton,Jackson,Phillips,2:15,N,"15,177",1.08,+,
LAD,14,"Tuesday, Apr 9",boxscore,LAD,@,MIN,W,6,3,,10-4,1,up 4.0,Glasnow,Varland,,2:23,N,"17,024",1.08,++,
LAD,15,"Wednesday, Apr 10",boxscore,LAD,@,MIN,L,2,3,,10-5,1,up 3.0,Funderburk,Vesia,Okert,2:31,D,"18,640",1.12,-,
LAD,16,"Friday, Apr 12",boxscore,LAD,,SDP,L,7,8,11,10-6,1,up 2.0,Suarez,Vesia,,3:14,N,"49,606",1.26,--,
LAD,17,"Saturday, Apr 13",boxscore,LAD,,SDP,W,5,2,,11-6,1,up 3.0,Stone,Cosgrove,Phillips,2:36,N,"44,582",1.24,+,
LAD,18,"Sunday, Apr 14",boxscore,LAD,,SDP,L,3,6,,11-7,1,up 2.0,Matsui,Feyereisen,Suarez,2:58,D,"49,432",1.25,-,
LAD,19,"Monday, Apr 15",boxscore,LAD,,WSN,L,4,6,,11-8,1,up 1.0,Parker,Glasnow,Finnegan,2:36,N,"42,677",1.15,--,
LAD,20,"Tuesday, Apr 16",boxscore,LAD,,WSN,W,6,2,,12-8,1,up 1.0,Yarbrough,Corbin,,2:26,N,"52,718",1.11,+,
LAD,21,"Wednesday, Apr 17",boxscore,LAD,,WSN,L,0,2,,12-9,1,up 1.0,Irvin,Knack,Finnegan,2:16,D,"44,428",1.10,-,
LAD,22,"Friday, Apr 19",boxscore,LAD,,NYM,L,4,9,,12-10,1,up 1.0,Garrett,Hudson,,3:03,N,"44,783",1.14,--,
LAD,23,"Saturday, Apr 20",boxscore,LAD,,NYM,L,4,6,,12-11,1,up 1.0,Tonkin,Yarbrough,Garrett,3:20,D,"45,373",1.07,---,
LAD,24,"Sunday, Apr 21",boxscore,LAD,,NYM,W,10,0,,13-11,1,up 1.0,Glasnow,Houser,,2:18,D,"49,287",1.03,+,
LAD,25,"Tuesday, Apr 23",boxscore,LAD,@,WSN,W,4,1,,14-11,1,up 1.5,Vesia,Harvey,Phillips,3:10,N,"27,806",1.06,++,
LAD,26,"Wednesday, Apr 24",boxscore,LAD,@,WSN,W,11,2,,15-11,1,up 1.5,Knack,Irvin,,2:40,N,"26,298",1.09,+++,
LAD,27,"Thursday, Apr 25",boxscore,LAD,@,WSN,W,2,1,,16-11,1,up 2.5,Yamamoto,Gore,Phillips,2:36,D,"24,185",1.11,++++,
LAD,28,"Friday, Apr 26",boxscore,LAD,@,TOR,W,12,2,,17-11,1,up 3.5,Stone,Bassitt,,2:39,N,"39,688",1.13,+++++,
LAD,29,"Saturday, Apr 27",boxscore,LAD,@,TOR,W,4,2,,18-11,1,up 4.5,Glasnow,Kikuchi,Phillips,2:49,D,"39,405",1.13,++++++,
LAD,30,"Sunday, Apr 28",boxscore,LAD,@,TOR,L,1,3,,18-12,1,up 3.5,Gausman,Grove,Romano,2:20,D,"39,053",1.16,-,
LAD,31,"Monday, Apr 29",boxscore,LAD,@,ARI,W,8,4,,19-12,1,up 4.0,Paxton,Henry,,2:50,N,"36,985",1.28,+,
LAD,32,"Tuesday, Apr 30",boxscore,LAD,@,ARI,L-wo,3,4,10,19-13,1,up 4.0,McGough,Crismatt,,2:47,N,"28,667",1.28,-,
